system_name,test_id,category,category_display,recovery_test,question,expected_tools,majority_pass,pass_count,mean_correctness,mean_relevance,mean_completeness,mean_pedagogical_quality,mean_grounding_consistency,mean_overall_score,stdev_overall_score,any_critical_error,critical_error_count,primary_error_type,observed_error_types,judge_error_occurrence_count,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,expected_tool_fulfillment,final_validation_status,recovery_triggered,recovery_successful
Full Manager,T018,conceptual_grounded,Conceptual / Grounded,No,Explain what a visual matrix example helps a learner understand.,RAGTool,False,1,3.0,3.333333333333333,3.6666666666666665,3.333333333333333,3.0,3.2666666666666666,0.9451631252505216,True,1,mixed:calculation_error|factual_error,calculation_error;factual_error,2,RAGTool,RAGTool,Yes,Yes,No,No,invalid,Yes,No
Manager Without Recovery,T019,conceptual_grounded,Conceptual / Grounded,No,Explain why validation is important after using a tool.,RAGTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.7333333333333334,0.4618802153517006,True,3,non_answer,non_answer,3,RAGTool,RAGTool,Yes,Yes,No,Yes,valid,No,No
Full Manager,T019,conceptual_grounded,Conceptual / Grounded,No,Explain why validation is important after using a tool.,RAGTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,irrelevant_answer,irrelevant_answer;non_answer,3,RAGTool,RAGTool,Yes,Yes,No,Yes,valid,Yes,No
Direct LLM,T020,conceptual_grounded,Conceptual / Grounded,No,Explain why recovery is useful when a tool output is incomplete.,RAGTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,mixed:factual_error|incomplete_answer|irrelevant_answer,factual_error;incomplete_answer;irrelevant_answer,3,,,,,,,,,
Direct LLM,T021,computation_verification,Computation / Verification,No,What is 12 times 8?,CalculatorTool,False,1,2.333333333333333,3.0,5.0,3.333333333333333,2.333333333333333,3.2,1.5874507866387544,True,2,calculation_error,calculation_error,2,,,,,,,,,
Basic Tool Use,T021,computation_verification,Computation / Verification,No,What is 12 times 8?,CalculatorTool,False,0,4.666666666666667,3.0,2.6666666666666665,2.6666666666666665,3.0,3.2,0.3464101615137755,False,0,none,,0,RAGTool,RAGTool,No,No,Yes,No,,,
Basic Tool Use,T022,computation_verification,Computation / Verification,No,Calculate 45 plus 37.,CalculatorTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,MatrixComputationTool,MatrixComputationTool,No,No,No,No,,,
Basic Tool Use,T023,computation_verification,Computation / Verification,No,Calculate 144 divided by 12.,CalculatorTool,False,0,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.7333333333333334,0.4618802153517006,True,3,non_answer,non_answer,3,MatrixComputationTool,MatrixComputationTool,No,No,No,No,,,
Basic Tool Use,T028,computation_verification,Computation / Verification,No,"Compute the output size of a convolution with input 8x8, kernel 3x3, stride 1, padding 1.",CalculatorTool,False,1,2.6666666666666665,3.333333333333333,4.333333333333333,3.333333333333333,2.6666666666666665,3.2666666666666666,1.514375558880073,True,2,calculation_error,calculation_error,2,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,,,
Full Manager,T029,computation_verification,Computation / Verification,No,Can a 2x3 matrix be multiplied by a 3x2 matrix?,MatrixComputationTool,False,0,2.333333333333333,2.0,2.333333333333333,2.0,2.0,2.1333333333333333,0.2309401076758502,True,3,incomplete_answer,factual_error;incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T029,computation_verification,Computation / Verification,No,Can a 2x3 matrix be multiplied by a 3x2 matrix?,MatrixComputationTool,False,0,2.0,2.0,2.6666666666666665,2.0,2.0,2.1333333333333333,0.1154700538379252,True,3,mixed:contradictory_answer|factual_error|incomplete_answer,contradictory_answer;factual_error;incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,valid,No,No
Manager Without Recovery,T030,computation_verification,Computation / Verification,No,Can a 3x2 matrix be multiplied by a 3x3 matrix?,MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,incomplete_answer,factual_error;incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,Yes,invalid,No,No
Full Manager,T030,computation_verification,Computation / Verification,No,Can a 3x2 matrix be multiplied by a 3x3 matrix?,MatrixComputationTool,False,0,2.333333333333333,3.333333333333333,3.6666666666666665,3.0,2.333333333333333,2.9333333333333336,0.3055050463303894,True,3,factual_error,factual_error,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,Yes,invalid,Yes,No
Basic Tool Use,T031,computation_verification,Computation / Verification,No,"Multiply the matrices [[1,2],[3,4]] and [[5,6],[7,8]].",MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,RAGTool,RAGTool,No,No,No,No,,,
Direct LLM,T034,computation_verification,Computation / Verification,No,"Compute one valid convolution step using input [[1,2,3],[4,5,6],[7,8,9]] and kernel [[1,0],[0,1]].",MatrixComputationTool,False,0,1.6666666666666667,2.333333333333333,2.0,2.0,2.0,2.0,0.2,True,3,calculation_error,calculation_error,3,,,,,,,,,
Basic Tool Use,T035,computation_verification,Computation / Verification,No,"Compute the top-left convolution value for input [[1,2,3],[4,5,6],[7,8,9]] with kernel [[1,0],[0,-1]].",MatrixComputationTool,False,0,1.3333333333333333,2.0,2.0,2.0,1.6666666666666667,1.8,0.1999999999999999,True,3,contradictory_answer,contradictory_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Direct LLM,T035,computation_verification,Computation / Verification,No,"Compute the top-left convolution value for input [[1,2,3],[4,5,6],[7,8,9]] with kernel [[1,0],[0,-1]].",MatrixComputationTool,False,0,1.6666666666666667,2.6666666666666665,2.6666666666666665,2.0,1.6666666666666667,2.1333333333333333,0.2309401076758502,True,3,calculation_error,calculation_error,3,,,,,,,,,
Basic Tool Use,T036,computation_verification,Computation / Verification,No,Check whether a 2x2 kernel can slide over a 3x3 matrix in valid convolution.,MatrixComputationTool,False,1,3.333333333333333,3.333333333333333,3.333333333333333,3.0,3.333333333333333,3.2666666666666666,1.222020185321557,True,1,factual_error,factual_error,1,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Basic Tool Use,T037,computation_verification,Computation / Verification,No,Compute how many valid 2x2 convolution windows exist in a 3x3 matrix.,CalculatorTool;MatrixComputationTool,False,0,1.6666666666666667,2.0,2.0,2.0,2.0,1.9333333333333331,0.1154700538379251,True,3,calculation_error,calculation_error;factual_error,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Full Manager,T037,computation_verification,Computation / Verification,No,Compute how many valid 2x2 convolution windows exist in a 3x3 matrix.,CalculatorTool;MatrixComputationTool,False,0,2.333333333333333,2.6666666666666665,2.6666666666666665,2.333333333333333,2.333333333333333,2.466666666666667,0.5033222956847166,True,2,incomplete_answer,factual_error;incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Manager Without Recovery,T037,computation_verification,Computation / Verification,No,Compute how many valid 2x2 convolution windows exist in a 3x3 matrix.,CalculatorTool;MatrixComputationTool,False,0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,True,2,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Direct LLM,T038,computation_verification,Computation / Verification,No,Compute how many valid 3x3 convolution windows exist in a 5x5 matrix.,CalculatorTool;MatrixComputationTool,False,0,1.6666666666666667,2.0,2.0,2.0,1.6666666666666667,1.8666666666666667,0.2309401076758502,True,3,calculation_error,calculation_error,3,,,,,,,,,
Basic Tool Use,T038,computation_verification,Computation / Verification,No,Compute how many valid 3x3 convolution windows exist in a 5x5 matrix.,CalculatorTool;MatrixComputationTool,False,0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5773502691896257,True,2,mixed:contradictory_answer|incomplete_answer|non_answer,contradictory_answer;incomplete_answer;non_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,,,
Basic Tool Use,T039,computation_verification,Computation / Verification,No,"Verify the result of multiplying row [1,2] by column [5,7].",MatrixComputationTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,non_answer,3,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,,,
Basic Tool Use,T040,computation_verification,Computation / Verification,No,"Verify the result of multiplying row [3,4] by column [6,8].",MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,,,
Manager Without Recovery,T042,visual_step_by_step,Visual Step-by-Step,No,Show matrix multiplication step by step using row-by-column dot products.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,3.0,2.333333333333333,2.0,2.0,3.0,2.466666666666667,0.808290376865476,True,2,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Full Manager,T042,visual_step_by_step,Visual Step-by-Step,No,Show matrix multiplication step by step using row-by-column dot products.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5773502691896257,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Basic Tool Use,T043,visual_step_by_step,Visual Step-by-Step,No,Show how the first entry of a matrix product is computed visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.6666666666666667,1.6666666666666667,2.0,2.0,1.6666666666666667,1.8,0.3464101615137755,True,3,calculation_error,calculation_error;factual_error,3,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,,,
Full Manager,T043,visual_step_by_step,Visual Step-by-Step,No,Show how the first entry of a matrix product is computed visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.6666666666666665,2.0,2.0,2.1333333333333333,0.1154700538379252,True,3,factual_error,calculation_error;factual_error,3,CalculatorTool;RAGTool,RAGTool,No,No,No,No,invalid,Yes,No
Direct LLM,T043,visual_step_by_step,Visual Step-by-Step,No,Show how the first entry of a matrix product is computed visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.6666666666666665,2.6666666666666665,2.0,2.0,2.2666666666666666,0.2309401076758502,True,3,calculation_error,calculation_error,3,,,,,,,,,
Manager Without Recovery,T043,visual_step_by_step,Visual Step-by-Step,No,Show how the first entry of a matrix product is computed visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,3,non_answer,non_answer,3,RAGTool,RAGTool,No,No,No,No,invalid,No,No
Direct LLM,T045,visual_step_by_step,Visual Step-by-Step,No,Visualize convolution using a 3x3 input and a 2x2 kernel.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,3,factual_error,calculation_error;factual_error,3,,,,,,,,,
Basic Tool Use,T045,visual_step_by_step,Visual Step-by-Step,No,Visualize convolution using a 3x3 input and a 2x2 kernel.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,3.0,3.0,3.0,2.333333333333333,2.7333333333333334,0.8082903768654761,True,3,calculation_error,calculation_error;factual_error,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Basic Tool Use,T046,visual_step_by_step,Visual Step-by-Step,No,Show visually how a convolution kernel moves over a matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.333333333333333,2.0,2.0,2.066666666666667,0.1154700538379252,True,3,factual_error,calculation_error;factual_error,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Direct LLM,T046,visual_step_by_step,Visual Step-by-Step,No,Show visually how a convolution kernel moves over a matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,3.333333333333333,3.333333333333333,2.333333333333333,2.333333333333333,2.7333333333333334,0.5773502691896257,True,2,calculation_error,calculation_error,3,,,,,,,,,
Basic Tool Use,T047,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 1 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,True,1,factual_error,factual_error,1,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,No,,,
Direct LLM,T047,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 1 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,True,2,4.0,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.8,0.3464101615137755,False,0,none,,0,,,,,,,,,
Basic Tool Use,T048,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 2 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.6666666666666665,3.0,3.0,2.6666666666666665,2.6666666666666665,2.8,0.3464101615137755,True,2,factual_error,factual_error,2,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,No,,,
Full Manager,T048,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 2 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,2.0,2.333333333333333,2.0,2.333333333333333,2.2,0.3464101615137755,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,valid,No,No
Manager Without Recovery,T048,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 2 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,3.0,2.6666666666666665,3.0,2.6666666666666665,3.0,2.8666666666666667,0.2309401076758502,False,0,incomplete_answer,incomplete_answer,2,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,valid,No,No
Direct LLM,T048,visual_step_by_step,Visual Step-by-Step,No,Illustrate stride 2 in a convolution operation.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,3.0,3.0,2.333333333333333,2.0,2.466666666666667,0.1154700538379252,True,3,calculation_error,calculation_error,3,,,,,,,,,
Basic Tool Use,T049,visual_step_by_step,Visual Step-by-Step,No,Show the difference between padding and no padding visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.6666666666666665,2.6666666666666665,2.0,2.0,2.2666666666666666,0.2309401076758502,True,3,factual_error,factual_error,3,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,No,,,
Full Manager,T049,visual_step_by_step,Visual Step-by-Step,No,Show the difference between padding and no padding visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.333333333333333,2.066666666666667,0.1154700538379252,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Manager Without Recovery,T049,visual_step_by_step,Visual Step-by-Step,No,Show the difference between padding and no padding visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.0,2.0,2.333333333333333,2.066666666666667,0.1154700538379252,True,3,incomplete_answer,incomplete_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,No,valid,No,No
Direct LLM,T049,visual_step_by_step,Visual Step-by-Step,No,Show the difference between padding and no padding visually.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.0,2.0,2.333333333333333,2.0,2.0,2.066666666666667,0.1154700538379252,True,3,irrelevant_answer,irrelevant_answer,3,,,,,,,,,
Manager Without Recovery,T050,visual_step_by_step,Visual Step-by-Step,No,Show how a filter detects a vertical edge in a simple image matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,2.333333333333333,1.1547005383792517,True,3,incomplete_answer,incomplete_answer;non_answer,3,RAGTool,RAGTool,No,No,No,No,invalid,No,No
Full Manager,T050,visual_step_by_step,Visual Step-by-Step,No,Show how a filter detects a vertical edge in a simple image matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,3.0,3.0,3.0,2.6666666666666665,3.0,2.933333333333333,0.1154700538379252,True,1,incomplete_answer,incomplete_answer,3,RAGTool,RAGTool,No,No,No,No,invalid,Yes,No
Basic Tool Use,T050,visual_step_by_step,Visual Step-by-Step,No,Show how a filter detects a vertical edge in a simple image matrix.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.5773502691896257,True,1,factual_error,factual_error,1,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,,,
Manager Without Recovery,T051,visual_step_by_step,Visual Step-by-Step,No,Explain matrix multiplication visually without using convolution.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,irrelevant_answer,irrelevant_answer,3,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,invalid,No,No
Full Manager,T051,visual_step_by_step,Visual Step-by-Step,No,Explain matrix multiplication visually without using convolution.,RAGTool;VisualMatrixTool;MatrixComputationTool,False,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5773502691896257,True,3,non_answer,non_answer,3,MatrixComputationTool;RAGTool,RAGTool,No,No,No,No,invalid,Yes,No
