system,test_id,round_trace,trace_id,attempt,call_index,tool_name,status,success,failure_reason,output_present
basic_tool_use,T027,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T027,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T028,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T028,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T028,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T029,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T030,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T031,,,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T032,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T033,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T034,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T034,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T035,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T035,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T036,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T036,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T037,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T037,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T038,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T038,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T039,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T040,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T041,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T041,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T042,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T042,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T043,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T043,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T044,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T044,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T044,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T045,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T045,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T045,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T046,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T046,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T046,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T047,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T047,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T048,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T048,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T049,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T049,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T050,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T050,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T050,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T051,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T051,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T051,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T052,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T052,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T052,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T053,,,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T053,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T054,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T054,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T055,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T055,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T055,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T056,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T056,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T057,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T057,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T058,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T058,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T058,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T059,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T059,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T059,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T060,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T060,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T060,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T061,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T061,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T062,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T063,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T064,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T064,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T065,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T065,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T065,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T066,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T066,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T066,,,1,3,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T067,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T067,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T068,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T068,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T068,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T069,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T069,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T070,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T070,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T071,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T071,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T071,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T072,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T072,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T072,,,1,3,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T072,,,1,4,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T073,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T073,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T073,,,1,3,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T073,,,1,4,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T074,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T074,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T075,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T075,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T075,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T076,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T076,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T076,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T076,,,1,4,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T077,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T077,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T077,,,1,3,RAGTool,success,Yes,,Yes
basic_tool_use,T078,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T078,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T078,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T079,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T079,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T079,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T080,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T080,,,1,2,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T080,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T081,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T081,,,1,2,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T082,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T082,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T082,,,1,3,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T083,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T083,,,1,2,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T084,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T084,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T085,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T085,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T086,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T086,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T087,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T087,,,1,2,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T087,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T088,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T088,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T089,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T089,,,1,2,RAGTool,failed,No,no_topic_consistent_grounding,Yes
basic_tool_use,T089,,,1,3,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T090,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T090,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T090,,,1,3,TraceSearchTool,success,Yes,,Yes
basic_tool_use,T091,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T092,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T092,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T093,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T093,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T094,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T094,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T095,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T095,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T095,,,1,3,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T096,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T096,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T097,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T097,,,1,2,VisualMatrixTool,success,Yes,,Yes
basic_tool_use,T098,,,1,1,CodeSandboxTool,success,Yes,,Yes
basic_tool_use,T098,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T099,,,1,1,MatrixComputationTool,failed,No,unsupported_matrix_operation,Yes
basic_tool_use,T099,,,1,2,RAGTool,success,Yes,,Yes
basic_tool_use,T100,,,1,1,RAGTool,success,Yes,,Yes
basic_tool_use,T100,,,1,2,TraceSearchTool,success,Yes,,Yes
manager_without_recovery,T001,T001_no_recovery_round01_TT-66ce238d_trace.json,TT-66ce238d,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T001,T001_no_recovery_round02_TT-996206d5_trace.json,TT-996206d5,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T001,T001_no_recovery_round02_TT-996206d5_trace.json,TT-996206d5,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round01_TT-2e3c8a7c_trace.json,TT-2e3c8a7c,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round01_TT-2e3c8a7c_trace.json,TT-2e3c8a7c,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round02_TT-5016a031_trace.json,TT-5016a031,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round02_TT-5016a031_trace.json,TT-5016a031,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round03_TT-fc60c38b_trace.json,TT-fc60c38b,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T002,T002_no_recovery_round03_TT-fc60c38b_trace.json,TT-fc60c38b,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T003,T003_no_recovery_round01_TT-f213651e_trace.json,TT-f213651e,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T003,T003_no_recovery_round02_TT-92dd472f_trace.json,TT-92dd472f,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T003,T003_no_recovery_round02_TT-92dd472f_trace.json,TT-92dd472f,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T003,T003_no_recovery_round03_TT-2b759fd8_trace.json,TT-2b759fd8,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T004,T004_no_recovery_round01_TT-77ae1a75_trace.json,TT-77ae1a75,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T004,T004_no_recovery_round02_TT-0359c024_trace.json,TT-0359c024,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T004,T004_no_recovery_round02_TT-0359c024_trace.json,TT-0359c024,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T005,T005_no_recovery_round01_TT-6cb4aece_trace.json,TT-6cb4aece,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T005,T005_no_recovery_round02_TT-744cf869_trace.json,TT-744cf869,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T005,T005_no_recovery_round02_TT-744cf869_trace.json,TT-744cf869,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T006,T006_no_recovery_round01_TT-82c9ea0e_trace.json,TT-82c9ea0e,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T006,T006_no_recovery_round02_TT-96a34c8a_trace.json,TT-96a34c8a,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T006,T006_no_recovery_round02_TT-96a34c8a_trace.json,TT-96a34c8a,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T007,T007_no_recovery_round01_TT-1715f5ff_trace.json,TT-1715f5ff,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T007,T007_no_recovery_round02_TT-0b9828af_trace.json,TT-0b9828af,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T007,T007_no_recovery_round02_TT-0b9828af_trace.json,TT-0b9828af,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T007,T007_no_recovery_round03_TT-23702982_trace.json,TT-23702982,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T008,T008_no_recovery_round01_TT-439f73d9_trace.json,TT-439f73d9,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T008,T008_no_recovery_round02_TT-1327271b_trace.json,TT-1327271b,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T008,T008_no_recovery_round02_TT-1327271b_trace.json,TT-1327271b,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T009,T009_no_recovery_round01_TT-6fbf58d1_trace.json,TT-6fbf58d1,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T009,T009_no_recovery_round02_TT-1ce5d0de_trace.json,TT-1ce5d0de,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T009,T009_no_recovery_round02_TT-1ce5d0de_trace.json,TT-1ce5d0de,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T010,T010_no_recovery_round01_TT-6c31679b_trace.json,TT-6c31679b,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T010,T010_no_recovery_round01_TT-6c31679b_trace.json,TT-6c31679b,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T010,T010_no_recovery_round02_TT-0caf2a24_trace.json,TT-0caf2a24,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T011,T011_no_recovery_round01_TT-5dada0fc_trace.json,TT-5dada0fc,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T011,T011_no_recovery_round01_TT-5dada0fc_trace.json,TT-5dada0fc,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T011,T011_no_recovery_round02_TT-90b5d494_trace.json,TT-90b5d494,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T011,T011_no_recovery_round02_TT-90b5d494_trace.json,TT-90b5d494,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T011,T011_no_recovery_round03_TT-2362f6be_trace.json,TT-2362f6be,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T011,T011_no_recovery_round03_TT-2362f6be_trace.json,TT-2362f6be,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T012,T012_no_recovery_round01_TT-b7223034_trace.json,TT-b7223034,1,1,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T012,T012_no_recovery_round02_TT-c11a6fe6_trace.json,TT-c11a6fe6,1,1,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round01_TT-91f9cb22_trace.json,TT-91f9cb22,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round01_TT-91f9cb22_trace.json,TT-91f9cb22,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round02_TT-61891157_trace.json,TT-61891157,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round02_TT-61891157_trace.json,TT-61891157,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round03_TT-2b18e607_trace.json,TT-2b18e607,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T013,T013_no_recovery_round03_TT-2b18e607_trace.json,TT-2b18e607,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T014,T014_no_recovery_round01_TT-35e82846_trace.json,TT-35e82846,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T014,T014_no_recovery_round01_TT-35e82846_trace.json,TT-35e82846,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T014,T014_no_recovery_round02_TT-27155600_trace.json,TT-27155600,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T014,T014_no_recovery_round02_TT-27155600_trace.json,TT-27155600,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T015,T015_no_recovery_round01_TT-4db05446_trace.json,TT-4db05446,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T015,T015_no_recovery_round01_TT-4db05446_trace.json,TT-4db05446,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T015,T015_no_recovery_round02_TT-5eb54e60_trace.json,TT-5eb54e60,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T015,T015_no_recovery_round02_TT-5eb54e60_trace.json,TT-5eb54e60,1,2,MatrixComputationTool,success,Yes,,Yes
manager_without_recovery,T016,T016_no_recovery_round01_TT-54e76059_trace.json,TT-54e76059,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T016,T016_no_recovery_round02_TT-2462ad02_trace.json,TT-2462ad02,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T017,T017_no_recovery_round01_TT-734d2017_trace.json,TT-734d2017,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T018,T018_no_recovery_round01_TT-2615db22_trace.json,TT-2615db22,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T018,T018_no_recovery_round02_TT-93eab51e_trace.json,TT-93eab51e,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T019,T019_no_recovery_round01_TT-c285ab5a_trace.json,TT-c285ab5a,1,1,RAGTool,failed,No,no_topic_consistent_grounding,Yes
manager_without_recovery,T019,T019_no_recovery_round02_TT-06d80c05_trace.json,TT-06d80c05,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T020,T020_no_recovery_round01_TT-5edb0e10_trace.json,TT-5edb0e10,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T020,T020_no_recovery_round02_TT-01cc5747_trace.json,TT-01cc5747,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T021,T021_no_recovery_round01_TT-a2cd9ecd_trace.json,TT-a2cd9ecd,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T022,T022_no_recovery_round01_TT-f5757c93_trace.json,TT-f5757c93,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T023,T023_no_recovery_round01_TT-3be304d0_trace.json,TT-3be304d0,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T024,T024_no_recovery_round01_TT-4919ebb0_trace.json,TT-4919ebb0,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T025,T025_no_recovery_round01_TT-a006b2cd_trace.json,TT-a006b2cd,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T025,T025_no_recovery_round02_TT-84e2f935_trace.json,TT-84e2f935,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T025,T025_no_recovery_round03_TT-8388cd8d_trace.json,TT-8388cd8d,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T025,T025_no_recovery_round04_TT-deb7903e_trace.json,TT-deb7903e,1,1,CalculatorTool,success,Yes,,Yes
manager_without_recovery,T026,T026_no_recovery_round01_TT-d2a58a44_trace.json,TT-d2a58a44,1,1,RAGTool,success,Yes,,Yes
manager_without_recovery,T026,T026_no_recovery_round02_TT-ecf763e3_trace.json,TT-ecf763e3,1,1,CalculatorTool,success,Yes,,Yes
