system,test_id,category,expected_tools,selected_tools,exact_tool_selection,required_execution_success,all_attempted_calls_success,workflow_status,final_validation_status,recovery_triggered,recovery_successful,strict_trace_complete,trace_element_ratio,answer_generated,operational_completion,judge_correct,official_end_to_end_success
direct_llm,T025,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T026,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T027,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T028,computation_verification,CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T029,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T030,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T031,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T032,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T033,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T034,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T035,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T036,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T037,computation_verification,CalculatorTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T038,computation_verification,CalculatorTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T039,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T040,computation_verification,MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T041,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T042,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T043,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T044,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T045,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T046,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T047,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T048,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T049,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T050,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T051,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T052,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T053,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T054,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T055,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T056,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T057,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T058,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T059,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T060,visual_step_by_step,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T061,code_related,CodeSandboxTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T062,code_related,CodeSandboxTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T063,code_related,CodeSandboxTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T064,code_related,CodeSandboxTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T065,code_related,CodeSandboxTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T066,code_related,CodeSandboxTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T067,code_related,CodeSandboxTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T068,code_related,CodeSandboxTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T069,code_related,CodeSandboxTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T070,code_related,CodeSandboxTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T071,code_related,CodeSandboxTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T072,code_related,CodeSandboxTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T073,code_related,CodeSandboxTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T074,code_related,CodeSandboxTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T075,code_related,CodeSandboxTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T076,code_related,CodeSandboxTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T077,code_related,CodeSandboxTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T078,code_related,CodeSandboxTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T079,code_related,CodeSandboxTool;VisualMatrixTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T080,code_related,CodeSandboxTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T081,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T082,recovery_personalization_trace,TraceSearchTool;RAGTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T083,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T084,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T085,recovery_personalization_trace,TraceSearchTool;RAGTool;VisualMatrixTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T086,recovery_personalization_trace,TraceSearchTool;RAGTool;VisualMatrixTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T087,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T088,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T089,recovery_personalization_trace,TraceSearchTool;RAGTool;VisualMatrixTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T090,recovery_personalization_trace,TraceSearchTool;RAGTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T091,recovery_personalization_trace,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T092,recovery_personalization_trace,RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T093,recovery_personalization_trace,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T094,recovery_personalization_trace,RAGTool;CalculatorTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T095,recovery_personalization_trace,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T096,recovery_personalization_trace,RAGTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T097,recovery_personalization_trace,RAGTool;VisualMatrixTool;MatrixComputationTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T098,recovery_personalization_trace,CodeSandboxTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T099,recovery_personalization_trace,RAGTool;VisualMatrixTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
direct_llm,T100,recovery_personalization_trace,TraceSearchTool;RAGTool,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T001,conceptual_grounded,RAGTool,RAGTool;TraceSearchTool,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T002,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T003,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T004,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T005,conceptual_grounded,RAGTool,RAGTool;VisualMatrixTool,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T006,conceptual_grounded,RAGTool,RAGTool;VisualMatrixTool,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T007,conceptual_grounded,RAGTool,RAGTool;VisualMatrixTool,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T008,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T009,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T010,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T011,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T012,conceptual_grounded,RAGTool,RAGTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T013,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T014,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T015,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T016,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T017,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T018,conceptual_grounded,RAGTool,MatrixComputationTool;RAGTool;TraceSearchTool;VisualMatrixTool,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T019,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T020,conceptual_grounded,RAGTool,RAGTool,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T021,computation_verification,CalculatorTool,RAGTool,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T022,computation_verification,CalculatorTool,MatrixComputationTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T023,computation_verification,CalculatorTool,MatrixComputationTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T024,computation_verification,CalculatorTool,MatrixComputationTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T025,computation_verification,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T026,computation_verification,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T027,computation_verification,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T028,computation_verification,CalculatorTool,MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T029,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T030,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T031,computation_verification,MatrixComputationTool,RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T032,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T033,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T034,computation_verification,MatrixComputationTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T035,computation_verification,MatrixComputationTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T036,computation_verification,MatrixComputationTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T037,computation_verification,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T038,computation_verification,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T039,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T040,computation_verification,MatrixComputationTool,MatrixComputationTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T041,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T042,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T043,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T044,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T045,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T046,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T047,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T048,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T049,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T050,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T051,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T052,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T053,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
basic_tool_use,T054,visual_step_by_step,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Pending,Pending
