system,test_id,expected_tools,initial_selected_tools,final_selected_tools,initial_exact_selection,final_exact_selection,final_plan_execution_success,all_attempted_calls_success,expected_tool_fulfillment,round_count,attempted_call_count
basic_tool_use,T036,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T037,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T038,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T039,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T040,MatrixComputationTool,MatrixComputationTool,MatrixComputationTool,Yes,Yes,No,No,No,1,1
basic_tool_use,T041,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T042,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T043,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T044,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T045,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T046,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T047,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T048,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T049,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T050,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T051,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T052,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T053,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T054,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T055,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T056,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T057,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T058,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T059,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T060,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T061,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,No,No,No,No,Yes,1,2
basic_tool_use,T062,CodeSandboxTool,CodeSandboxTool,CodeSandboxTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T063,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool,CodeSandboxTool,No,No,Yes,Yes,No,1,1
basic_tool_use,T064,CodeSandboxTool,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T065,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,1,3
basic_tool_use,T066,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,Yes,1,3
basic_tool_use,T067,CodeSandboxTool,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T068,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,Yes,1,3
basic_tool_use,T069,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,Yes,Yes,No,No,No,1,2
basic_tool_use,T070,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,Yes,Yes,No,No,No,1,2
basic_tool_use,T071,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,1,3
basic_tool_use,T072,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,1,4
basic_tool_use,T073,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,1,4
basic_tool_use,T074,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool,No,No,No,No,No,1,2
basic_tool_use,T075,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,1,3
basic_tool_use,T076,CalculatorTool;CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;RAGTool;VisualMatrixTool,No,No,No,No,No,1,4
basic_tool_use,T077,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,Yes,1,3
basic_tool_use,T078,CalculatorTool;CodeSandboxTool,CodeSandboxTool;RAGTool;VisualMatrixTool,CodeSandboxTool;RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,3
basic_tool_use,T079,CodeSandboxTool;VisualMatrixTool,CodeSandboxTool;RAGTool;VisualMatrixTool,CodeSandboxTool;RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,3
basic_tool_use,T080,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,CodeSandboxTool;MatrixComputationTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T081,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,Yes,1,2
basic_tool_use,T082,CalculatorTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,1,3
basic_tool_use,T083,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,Yes,1,2
basic_tool_use,T084,RAGTool;TraceSearchTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T085,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T086,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T087,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool;VisualMatrixTool,RAGTool;TraceSearchTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,3
basic_tool_use,T088,RAGTool;TraceSearchTool,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T089,RAGTool;TraceSearchTool;VisualMatrixTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,1,3
basic_tool_use,T090,CalculatorTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,1,3
basic_tool_use,T091,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
basic_tool_use,T092,RAGTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,Yes,1,2
basic_tool_use,T093,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,RAGTool;VisualMatrixTool,No,No,Yes,Yes,No,1,2
basic_tool_use,T094,CalculatorTool;RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T095,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
basic_tool_use,T096,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,Yes,Yes,No,No,No,1,2
basic_tool_use,T097,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,No,No,No,1,2
basic_tool_use,T098,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,Yes,Yes,Yes,Yes,Yes,1,2
basic_tool_use,T099,RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,1,2
basic_tool_use,T100,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,RAGTool;TraceSearchTool,Yes,Yes,Yes,Yes,Yes,1,2
manager_without_recovery,T001,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T002,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
manager_without_recovery,T003,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,4
manager_without_recovery,T004,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T005,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T006,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T007,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,4
manager_without_recovery,T008,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T009,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T010,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,3
manager_without_recovery,T011,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,3,6
manager_without_recovery,T012,RAGTool,MatrixComputationTool,MatrixComputationTool,No,No,Yes,Yes,No,2,2
manager_without_recovery,T013,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,6
manager_without_recovery,T014,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T015,RAGTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
manager_without_recovery,T016,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,Yes,2,2
manager_without_recovery,T017,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,1,1
manager_without_recovery,T018,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,No,2,2
manager_without_recovery,T019,RAGTool,RAGTool,RAGTool,Yes,Yes,No,No,Yes,2,2
manager_without_recovery,T020,RAGTool,RAGTool,RAGTool,Yes,Yes,Yes,Yes,Yes,2,2
manager_without_recovery,T021,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
manager_without_recovery,T022,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
manager_without_recovery,T023,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
manager_without_recovery,T024,CalculatorTool,CalculatorTool,CalculatorTool,Yes,Yes,Yes,Yes,Yes,1,1
manager_without_recovery,T025,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,4,4
manager_without_recovery,T026,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,4,4
manager_without_recovery,T027,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,4,4
manager_without_recovery,T028,CalculatorTool,CalculatorTool;RAGTool,CalculatorTool;RAGTool,No,No,Yes,Yes,Yes,3,3
manager_without_recovery,T029,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,2,4
manager_without_recovery,T030,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,2,3
manager_without_recovery,T031,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,4
manager_without_recovery,T032,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,3
manager_without_recovery,T033,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,Yes,3,3
manager_without_recovery,T034,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,4,6
manager_without_recovery,T035,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,5,6
manager_without_recovery,T036,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,4
manager_without_recovery,T037,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,5
manager_without_recovery,T038,CalculatorTool;MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,3,4
manager_without_recovery,T039,MatrixComputationTool,MatrixComputationTool;RAGTool;TraceSearchTool,MatrixComputationTool;RAGTool;TraceSearchTool,No,No,Yes,Yes,Yes,3,4
manager_without_recovery,T040,MatrixComputationTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,Yes,3,3
manager_without_recovery,T041,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T042,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,3
manager_without_recovery,T043,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool,RAGTool,No,No,No,No,No,2,2
manager_without_recovery,T044,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,No,No,No,1,3
manager_without_recovery,T045,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T046,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T047,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T048,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T049,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,Yes,Yes,No,2,4
manager_without_recovery,T050,MatrixComputationTool;RAGTool;VisualMatrixTool,RAGTool,RAGTool,No,No,No,No,No,3,3
manager_without_recovery,T051,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T052,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T053,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,3,6
manager_without_recovery,T054,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,MatrixComputationTool;VisualMatrixTool,No,No,Yes,Yes,No,2,4
manager_without_recovery,T055,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,3,9
manager_without_recovery,T056,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T057,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T058,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,3
manager_without_recovery,T059,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool,MatrixComputationTool;RAGTool,No,No,No,No,No,2,3
manager_without_recovery,T060,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,MatrixComputationTool;RAGTool;VisualMatrixTool,Yes,Yes,Yes,Yes,Yes,2,6
manager_without_recovery,T061,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,6
manager_without_recovery,T062,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,6
manager_without_recovery,T063,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T064,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,5
manager_without_recovery,T065,CalculatorTool;CodeSandboxTool,CalculatorTool;CodeSandboxTool;MatrixComputationTool;RAGTool,CalculatorTool;CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,4,9
manager_without_recovery,T066,CodeSandboxTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,2,5
manager_without_recovery,T067,CodeSandboxTool,CodeSandboxTool;RAGTool,CodeSandboxTool;RAGTool,No,No,No,No,No,1,2
manager_without_recovery,T068,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,6
manager_without_recovery,T069,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,2,4
manager_without_recovery,T070,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,4,8
manager_without_recovery,T071,CodeSandboxTool;MatrixComputationTool,CodeSandboxTool;MatrixComputationTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool,No,No,No,No,No,3,7
manager_without_recovery,T072,CodeSandboxTool;RAGTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,CodeSandboxTool;MatrixComputationTool;RAGTool;TraceSearchTool,No,No,No,No,No,3,9
